Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race ,Percent of Hispanic or Latino of any race ,Number of Black or African American ,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,260",63.2,4,0.2,8,0.4,83,4.2,514,25.8,606,30.4,DS,0.1,43,2.2,267,13.4,6,0.3,55,2.8,628,45,3,5
Kindergarten females,735,36.8,4,0.2,4,0.2,70,3.5,304,15.2,322,16.1,0,0,31,1.6,121,6.1,DS,0.1,47,2.4,628,45,3,5
Kindergarten total,"1,995",100,8,0.4,12,0.6,153,7.7,818,41,928,46.5,DS,0.1,74,3.7,388,19.4,8,0.4,102,5.1,628,45,3,5
1st grade males,"1,448",62,DS,0.1,DS,0.1,142,6.1,658,28.2,593,25.4,4,0.2,47,2,355,15.2,7,0.3,104,4.5,636,45,3,5
1st grade females,886,38,0,0,8,0.3,112,4.8,378,16.2,349,15,DS,0.1,37,1.6,137,5.9,DS,0.1,95,4.1,636,45,3,5
1st grade total,"2,334",100,DS,0.1,10,0.4,254,10.9,"1,036",44.4,942,40.4,6,0.3,84,3.6,492,21.1,9,0.4,199,8.5,636,45,3,5
2nd grade males,590,54.9,DS,0.2,5,0.5,39,3.6,295,27.4,228,21.2,0,0,21,2,128,11.9,7,0.7,27,2.5,637,45,3,5
2nd grade females,485,45.1,DS,0.2,6,0.6,39,3.6,217,20.2,204,19,DS,0.2,15,1.4,68,6.3,4,0.4,28,2.6,637,45,3,5
2nd grade total,"1,075",100,4,0.4,11,1,78,7.3,512,47.6,432,40.2,DS,0.2,36,3.3,196,18.2,11,1,55,5.1,637,45,3,5
3rd grade males,382,57.9,DS,0.3,6,0.9,23,3.5,207,31.4,133,20.2,0,0,11,1.7,67,10.2,7,1.1,24,3.6,637,45,3,5
3rd grade females,278,42.1,DS,0.3,DS,0.3,22,3.3,147,22.3,89,13.5,0,0,16,2.4,48,7.3,5,0.8,20,3,637,45,3,5
3rd grade total,660,100,4,0.6,8,1.2,45,6.8,354,53.6,222,33.6,0,0,27,4.1,115,17.4,12,1.8,44,6.7,637,45,3,5
4th grade males,280,55,0,0,DS,0.4,10,2,160,31.4,102,20,0,0,6,1.2,38,7.5,DS,0.4,8,1.6,634,45,3,5
4th grade females,229,45,DS,0.4,4,0.8,6,1.2,114,22.4,89,17.5,0,0,14,2.8,19,3.7,DS,0.4,11,2.2,634,45,3,5
4th grade total,509,100,DS,0.4,6,1.2,16,3.1,274,53.8,191,37.5,0,0,20,3.9,57,11.2,4,0.8,19,3.7,634,45,3,5
5th grade males,289,58.1,0,0,4,0.8,21,4.2,121,24.3,124,24.9,0,0,19,3.8,81,16.3,4,0.8,12,2.4,622,45,3,5
5th grade females,208,41.9,DS,0.4,5,1,6,1.2,88,17.7,97,19.5,0,0,10,2,51,10.3,DS,0.4,6,1.2,622,45,3,5
5th grade total,497,100,DS,0.4,9,1.8,27,5.4,209,42.1,221,44.5,0,0,29,5.8,132,26.6,6,1.2,18,3.6,622,45,3,5
6th grade males,578,67.7,DS,0.2,0,0,37,4.3,308,36.1,212,24.8,0,0,19,2.2,87,10.2,9,1.1,27,3.2,364,45,3,5
6th grade females,276,32.3,DS,0.2,DS,0.2,10,1.2,149,17.4,101,11.8,DS,0.2,10,1.2,23,2.7,DS,0.2,DS,0.2,364,45,3,5
6th grade total,854,100,4,0.5,DS,0.2,47,5.5,457,53.5,313,36.7,DS,0.2,29,3.4,110,12.9,11,1.3,29,3.4,364,45,3,5
7th grade males,625,63.7,DS,0.2,DS,0.2,27,2.8,340,34.7,239,24.4,DS,0.2,13,1.3,91,9.3,13,1.3,9,0.9,334,45,3,5
7th grade females,356,36.3,DS,0.2,4,0.4,18,1.8,167,17,149,15.2,0,0,16,1.6,28,2.9,DS,0.2,12,1.2,334,45,3,5
7th grade total,981,100,4,0.4,6,0.6,45,4.6,507,51.7,388,39.6,DS,0.2,29,3,119,12.1,15,1.5,21,2.1,334,45,3,5
8th grade males,516,61.9,DS,0.2,5,0.6,28,3.4,234,28.1,236,28.3,DS,0.2,9,1.1,104,12.5,16,1.9,15,1.8,329,45,3,5
8th grade females,318,38.1,DS,0.2,5,0.6,20,2.4,128,15.3,149,17.9,0,0,14,1.7,40,4.8,10,1.2,10,1.2,329,45,3,5
8th grade total,834,100,4,0.5,10,1.2,48,5.8,362,43.4,385,46.2,DS,0.2,23,2.8,144,17.3,26,3.1,25,3,329,45,3,5
9th grade males,"4,367",62.1,15,0.2,17,0.2,283,4,"2,024",28.8,"1,920",27.3,DS,0,106,1.5,918,13,102,1.4,189,2.7,274,45,3,5
9th grade females,"2,668",37.9,11,0.2,10,0.1,143,2,"1,311",18.6,"1,147",16.3,0,0,46,0.7,356,5.1,33,0.5,94,1.3,274,45,3,5
9th grade total,"7,035",100,26,0.4,27,0.4,426,6.1,"3,335",47.4,"3,067",43.6,DS,0,152,2.2,"1,274",18.1,135,1.9,283,4,274,45,3,5
10th grade males,"3,062",61.2,7,0.1,20,0.4,198,4,"1,424",28.5,"1,318",26.4,7,0.1,88,1.8,592,11.8,51,1,150,3,267,45,3,5
10th grade females,"1,939",38.8,7,0.1,13,0.3,121,2.4,864,17.3,877,17.5,6,0.1,51,1,203,4.1,26,0.5,77,1.5,267,45,3,5
10th grade total,"5,001",100,14,0.3,33,0.7,319,6.4,"2,288",45.8,"2,195",43.9,13,0.3,139,2.8,795,15.9,77,1.5,227,4.5,267,45,3,5
11th grade males,"1,970",59.3,8,0.2,13,0.4,125,3.8,939,28.3,855,25.8,DS,0.1,28,0.8,388,11.7,44,1.3,76,2.3,265,45,3,5
11th grade females,"1,350",40.7,6,0.2,8,0.2,69,2.1,644,19.4,585,17.6,DS,0.1,36,1.1,164,4.9,23,0.7,38,1.1,265,45,3,5
11th grade total,"3,320",100,14,0.4,21,0.6,194,5.8,"1,583",47.7,"1,440",43.4,4,0.1,64,1.9,552,16.6,67,2,114,3.4,265,45,3,5
12th grade males,965,56.7,6,0.4,7,0.4,55,3.2,437,25.7,441,25.9,DS,0.1,17,1,293,17.2,16,0.9,38,2.2,265,45,3,5
12th grade females,736,43.3,DS,0.1,4,0.2,40,2.4,336,19.8,345,20.3,DS,0.1,7,0.4,181,10.6,6,0.4,21,1.2,265,45,3,5
12th grade total,"1,701",100,8,0.5,11,0.6,95,5.6,773,45.4,786,46.2,4,0.2,24,1.4,474,27.9,22,1.3,59,3.5,265,45,3,5
